Year,Quarter,Airline,PaxToIndia,PaxFromIndia,FreightToIndia,FreightFromIndia
5.744,84.541,AIR ASTANA,6582,15,1,8318
5.983,39.905,AIR ASTANA,1507,19,2,1999
56.029,214.057,AIR ASTANA,15346,18,2,14470
6.217,206.962,AIR ASTANA,20252,23,4,20343
6.513,157.82,AIR ASTANA,9833,16,4,9130
6.99,156.886,AIR ASTANA,15214,17,4,13472
7.52,170.823,AIR ASTANA,9721,17,2,8845
70.821,203.572,AIR ASTANA,13532,18,3,16680
88.186,170.896,AIR ASTANA,15948,19,1,17686
0,0,AIR AUSTRAL,0,15,1,0
0,0,AIR AUSTRAL,0,23,2,111
0,6.516,AIR AUSTRAL,949,17,2,1170
0.015,8.639,AIR AUSTRAL,1770,18,4,1593
0.09,9.203,AIR AUSTRAL,2659,19,3,2902
0.265,13.963,AIR AUSTRAL,1733,22,4,1576
0.279,3.01,AIR AUSTRAL,2074,19,1,2579
0.333,2.802,AIR AUSTRAL,1647,20,1,1806
0.34,14.316,AIR AUSTRAL,795,18,3,1036
0.359,5.739,AIR AUSTRAL,2213,19,4,1327
0.363,9.359,AIR AUSTRAL,681,22,2,920
0.517,18.093,AIR AUSTRAL,1695,17,1,2104
0.549,6.256,AIR AUSTRAL,1554,19,2,1694
0.572,12.665,AIR AUSTRAL,1713,18,1,2208
0.611,18.72,AIR AUSTRAL,810,18,2,1028
0.723,11.992,AIR AUSTRAL,1404,22,3,1497
0.881,10.749,AIR AUSTRAL,1332,17,3,1346
0.959,5.361,AIR AUSTRAL,1729,23,1,1885
1.964,15.669,AIR AUSTRAL,1485,17,4,1138
15.611,5.69,AIR AUSTRAL,758,15,4,762
3.532,16.948,AIR AUSTRAL,1797,16,4,1149
5.013,6.397,AIR AUSTRAL,610,16,2,719
5.213,5.454,AIR AUSTRAL,418,15,2,395
5.972,9.394,AIR AUSTRAL,927,16,1,867
7.125,3.294,AIR AUSTRAL,596,16,3,622
7.41,6.885,AIR AUSTRAL,661,15,3,667
103.967,285.597,AIR CANADA,12796,16,2,15407
1161,361,AIR CANADA,9532,15,4,8077
136.909,449.984,AIR CANADA,14617,16,3,15275
163.405,187.59,AIR CANADA,14302,18,3,14669
1664.826,0,AIR CANADA,47418,19,3,0
17.175,46.12,AIR CANADA,1754,21,3,3522
183.029,499.325,AIR CANADA,27158,16,4,23996
234.56,346.273,AIR CANADA,21957,21,1,29958
236.492,515.801,AIR CANADA,24433,17,3,25227
242.689,729.765,AIR CANADA,64076,22,1,74176
265.027,637.492,AIR CANADA,28299,17,1,29458
278.831,1010.877,AIR CANADA,58129,19,4,46233
313.45,590.844,AIR CANADA,58679,21,4,69130
327.235,723.46,AIR CANADA,29366,24,2,36914
34.469,171.758,AIR CANADA,30072,19,2,37107
358.166,776.994,AIR CANADA,22951,20,4,18511
369.037,346.24,AIR CANADA,18097,17,2,22618
375.51,153.058,AIR CANADA,12677,18,2,16717
430.844,651.002,AIR CANADA,42373,24,1,42462
445.755,785.3240000000001,AIR CANADA,42159,23,4,37789
454.941,1064.719,AIR CANADA,55072,19,1,59778
496.339,751.777,AIR CANADA,31939,23,2,37423
497.036,604.893,AIR CANADA,35459,23,1,34734
